user,employer,category1,category2,user_tone,audience_tone,qualified
RealSkipBayless,Fox Sports,sports,,debate,mockery,1
stephenasmith,ESPN,sports,,neutral,mockery,1
NateSilver538,FiveThirtyEight,sports,politics,debate,debate,1
bomani_jones,ESPN,sports,,debate,debate,1
BillSimmons,The Ringer,sports,culture,debate,negative,1
PFTCommenter,Bar Stool Sports,sports,,fun,supportive,1
darrenrovell,ESPN,sports,,informative,mockery,1
WhitlockJason,Fox Sports,sports,,debate,negative,1
richarddeitsch,The Athletic,sports,,neutral,debate,1
jemelehill,ESPN,sports,politics,debate,negative,1
mcuban,,sports,technology,neutral,debate,1
bykevinclark,The Ringer,sports,,fun,neutral,1
DannyBKelly,The Ringer,sports,,fun,neutral,1
minakimes,ESPN,sports,,fun,supportive,1
BarstoolBigCat,,sports,,fun,supportive,1
hen_ease,The Ringer,sports,,fun,mockery,1
katienolan,ESPN,sports,culture,fun,fun,1
SIChrisMannix,Yahoo,sports,,neutral,neutral,1
HowardBeck,Yahoo,sports,,neutral,neutral,1
ShannonSharpe,Fox Sports,sports,,debate,fun,1
Chris_Broussard,Fox Sports,sports,,debate,mockery,1
SheaSerrano,The Ringer,sports,culture,fun,supportive,1
Stephania_ESPN,ESPN,sports,,neutral,neutral,1
MatthewBerryTMR,ESPN,sports,,sarcastic,negative,1
FieldYates,ESPN,sports,,neutral,neutral,1
RobParkerFS1,Fox Sports,sports,,debate,mockery,1
criscarter80,Fox Sports,sports,,debate,debate,1
getnickwright,Fox Sports,sports,,debate,debate,1
markschlereth,Fox Sports,sports,,debate,debate,1
Buck,Fox Sports,sports,,neutral,mockery,1
TroyAikman,Fox Sports,sports,,neutral,mockery,1
MikePereira,Fox Sports,sports,,neutral,debate,1
ErinAndrews,Fox Sports,sports,,neutral,neutral,1
GottliebShow,CBS Sports,sports,,debate,debate,1
Coach_Leach,,sports,,debate,debate,1
ChrisBHaynes,Yahoo,sports,,neutral,neutral,1
wojespn,ESPN,sports,,neutral,neutral,1
RicBucher,NBC,sports,,neutral,neutral,1
MarcJSpearsESPN,ESPN,sports,,neutral,neutral,1
McShay13,ESPN,sports,,neutral,neutral,1
MelKiperESPN,ESPN,sports,,neutral,neutral,1
IzGutierrez,ESPN,sports,,neutral,neutral,1
MarkJackson13,ESPN,sports,,neutral,debate,1
RealMikeWilbon,ESPN,sports,,neutral,debate,1
WindhorstESPN,ESPN,sports,,neutral,debate,1
davidaldridgedc,NBA,sports,,neutral,debate,1
kevinarnovitz,ESPN,sports,,neutral,debate,1
sheridanhoops,,sports,,debate,debate,1
ReggieMillerTNT,TNT,sports,,neutral,neutral,1
chadfordinsider,ESPN,sports,,neutral,neutral,1
TheSteinLine,New York Times,sports,,neutral,neutral,1
RoyceWebb,ESPN,sports,,neutral,neutral,1
jadande,ESPN,sports,,neutral,neutral,1
mcten,ESPN,sports,,neutral,neutral,1
JalenRose,ESPN,sports,,fun,debate,1
SHAQ,TNT,sports,,fun,supportive,1
