user_id,screen_name,created_at,status_id,favorite_count,retweet_count,text,reply_count,ratio,ratio_inv,timestamp_scrape
x43139414,RealSkipBayless,2018-11-11T20:12:53Z,x1061713396091957248,1816,362,Mariota is shredding Belichick.,209,0.095959596,10.42105263,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:09:44Z,x1061803197273038848,297,40,Amazing stand by the Cowboy defense. Hope it's not just your basic stay of execution.,31,0.091988131,10.87096774,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T00:35:39Z,x1061779521957851136,427,54,Russell Wilson should've kept running with it. Looked like he pretty easily would've made the first down.,44,0.091476091,10.93181818,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:41:08Z,x1061811102416171008,431,61,Let Dak run uptempo no-huddle as he did late first half vs Tenn. This is when he's best. Quits second-guessing. Just plants and fires.,44,0.089430894,11.18181818,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T05:21:50Z,x1061851541429092352,1011,105,Do I think the Cowboys can win at Atlanta and beat the Saints? NO. But do I feel way better about this team? YES. I'm going to bask in this for one whole week.,97,0.086917563,11.50515464,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T04:30:34Z,x1061838640307826688,2117,567,HOW BOUT THAT DAK PRESCOTT AND THAT EZEKIEL ELLIOTT! HOW BOUT THAT DEFENSE HOLDING AN OFFENSE WITH FOUR DANGEROUS RECEIVERS TO 20 POINTS AT PHILLY! HOW BOUT CARSON WINCE!,232,0.086438152,11.56896552,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T19:45:08Z,x1061706412038938624,754,105,Matt Ryan will rally the Falcons. But how bout Baker Mayfield going 14 of 15 with 3 TDs as Cleveland leads Atl 21-10. I said Baker would be the best QB in this class and I stand by it.,71,0.082654249,12.09859155,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T02:38:52Z,x1061810528874450944,192,15,Blitz. Force a quick throw. Tackle.,17,0.082125604,12.17647059,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-11T23:33:53Z,x1061763979402334208,646,111,"Lockett just caught the go-ahead TD pass and handed the ball to Floyd Mayweather, in the first row of the end zone. Floyd should be content to go to games, bask in his 50-0 glory, be honored by players who are in awe of him. No fighting ""Uber drivers"" in Japan.",61,0.080581242,12.40983607,2018-11-12T16:44:00Z
x43139414,RealSkipBayless,2018-11-12T00:58:01Z,x1061785152341237760,1149,156,"As a Cowboy fan who hoped Wash would lose at TB, it just tears me up that the Bucs had 500 YARDS AND PUNTED JUST ONCE ... and scored only 3. Almost mathematically impossible. 4 turnovers and a missed chipshot FG. Gave me a headache.",104,0.079693487,12.54807692,2018-11-12T16:44:00Z
